Nat,Name,HP,Atk,Def,SpA,SpD,Spe,Total,TypeI,TypeII
453,Croagunk,48,61,40,61,40,50,300,Poison,Fighting
169,Crobat,85,90,80,70,80,130,535,Poison,Flying
159,Croconaw,65,80,80,59,63,58,405,Water,
558,Crustle,70,95,125,65,75,45,475,Bug,Rock
615,Cryogonal,70,50,30,95,135,105,485,Ice,
613,Cubchoo,55,70,40,60,40,40,305,Ice,
104,Cubone,50,50,95,40,50,35,320,Ground,
155,Cyndaquil,39,52,43,60,50,65,309,Fire,
491,Darkrai,70,90,90,135,90,125,600,Dark,
555,Darmanitan,105,140,55,30,55,95,480,Fire,
554,Darumaka,70,90,45,15,45,50,315,Fire,
585,Deerling,60,60,50,40,50,75,335,Normal,Grass
633,Deino,52,65,50,45,50,38,300,Dark,Dragon
301,Delcatty,70,65,65,55,55,70,380,Normal,
225,Delibird,45,55,45,65,45,75,330,Ice,Flying
386,Deoxys (N),50,150,50,150,50,150,600,Psychic,
87,Dewgong,90,70,80,70,95,70,475,Water,Ice
502,Dewott,75,75,60,83,60,60,413,Water,
483,Dialga,100,120,120,150,100,90,680,Steel,Dragon
50,Diglett,10,55,25,35,45,95,265,Ground,
132,Ditto,48,48,48,48,48,48,288,Normal,
85,Dodrio,60,110,70,60,60,100,460,Normal,Flying
84,Doduo,35,85,45,35,35,75,310,Normal,Flying
232,Donphan,90,120,120,60,60,50,500,Ground,
148,Dragonair,61,84,65,70,70,70,420,Dragon,
149,Dragonite,91,134,95,100,100,80,600,Dragon,Flying
452,Drapion,70,90,110,60,75,95,500,Poison,Dark
147,Dratini,41,64,45,50,50,50,300,Dragon,
426,Drifblim,150,80,44,90,54,80,498,Ghost,Flying
425,Drifloon,90,50,34,60,44,70,348,Ghost,Flying
529,Drilbur,60,85,40,30,45,68,328,Ground,
96,Drowzee,60,48,45,43,90,42,328,Psychic,
621,Druddigon,77,120,90,60,90,48,485,Dragon,
580,Ducklett,62,44,50,44,50,55,305,Water,Flying
51,Dugtrio,35,80,50,50,70,120,405,Ground,
206,Dunsparce,100,70,70,65,65,45,415,Normal,
578,Duosion,65,40,50,125,60,30,370,Psychic,
632,Durant,58,109,112,48,48,109,484,Bug,Steel
356,Dusclops,40,70,130,60,130,25,455,Ghost,
477,Dusknoir,45,100,135,65,135,45,525,Ghost,
355,Duskull,20,40,90,30,90,25,295,Ghost,
269,Dustox,60,50,70,50,90,65,385,Bug,Poison
557,Dwebble,50,65,85,35,35,55,325,Bug,Rock
603,Eelektrik,65,85,70,75,70,40,405,Electric,
604,Eelektross,85,115,80,105,80,50,515,Electric,
133,Eevee,55,55,50,45,65,55,325,Normal,
23,Ekans,30,60,44,40,54,55,283,Poison,
125,Electabuzz,65,83,57,95,85,105,490,Electric,
466,Electivire,75,123,67,95,85,95,540,Electric,
309,Electrike,40,45,40,65,40,65,295,Electric,
101,Electrode,60,50,70,80,80,140,480,Electric,
239,Elekid,45,63,37,65,55,95,360,Electric,
605,Elgyem,55,55,55,85,55,30,335,Psychic,
500,Emboar,110,123,65,100,65,65,528,Fire,Fighting
587,Emolga,55,75,60,75,60,103,428,Electric,Flying
395,Empoleon,84,86,88,111,101,60,530,Water,Steel
244,Entei,115,115,85,90,75,100,580,Fire,
589,Escavalier,70,135,105,60,105,20,495,Bug,Steel
196,Espeon,65,65,60,130,95,110,525,Psychic,
530,Excadrill,110,135,60,50,65,88,508,Ground,Steel
102,Exeggcute,60,40,80,60,45,40,325,Grass,Psychic
103,Exeggutor,95,95,85,125,65,55,520,Grass,Psychic
295,Exploud,104,91,63,91,63,68,480,Normal,
83,Farfetch'd,52,65,55,58,62,60,352,Normal,Flying
22,Fearow,65,90,65,61,61,100,442,Normal,Flying
349,Feebas,20,15,20,10,55,80,200,Water,
160,Feraligatr,85,105,100,79,83,78,530,Water,
597,Ferroseed,44,50,91,24,86,10,305,Grass,Steel
598,Ferrothorn,74,94,131,54,116,20,489,Grass,Steel
456,Finneon,49,49,56,49,61,66,330,Water,
180,Flaaffy,70,55,55,80,60,45,365,Electric,
136,Flareon,65,130,60,95,110,65,525,Fire,
419,Floatzel,85,105,55,85,50,115,495,Water,
330,Flygon,80,100,80,80,80,100,520,Ground,Dragon
590,Foongus,69,55,45,55,55,15,294,Grass,Poison
205,Forretress,75,90,140,60,60,40,465,Bug,Steel
611,Fraxure,66,117,70,40,50,67,410,Dragon,
592,Frillish,55,40,50,65,85,40,335,Water,Ghost
478,Froslass,70,80,70,80,70,110,480,Ice,Ghost
162,Furret,85,76,64,45,55,90,415,Normal,
444,Gabite,68,90,65,50,55,82,410,Dragon,Ground
475,Gallade,68,125,65,65,115,80,518,Psychic,Fighting
596,Galvantula,70,77,60,97,60,108,472,Bug,Electric
569,Garbodor,80,95,92,60,82,75,484,Poison,
445,Garchomp,108,130,95,80,85,102,600,Dragon,Ground
282,Gardevoir,68,65,65,125,115,80,518,Psychic,
92,Gastly,30,35,30,100,35,80,310,Ghost,Poison
423,Gastrodon,111,83,68,92,82,39,475,Water,Ground
649,Genesect,71,120,95,120,95,99,600,Bug,Steel
94,Gengar,60,65,60,130,75,110,500,Ghost,Poison
74,Geodude,40,80,100,30,30,20,300,Rock,Ground
443,Gible,58,70,45,40,45,42,300,Dragon,Ground
526,Gigalith,85,135,130,60,70,25,505,Rock,
203,Girafarig,70,80,65,90,65,85,455,Normal,Psychic
487,Giratina,150,100,120,100,120,90,680,Ghost,Dragon
471,Glaceon,65,60,110,130,95,65,525,Ice,
362,Glalie,80,80,80,80,80,80,480,Ice,
431,Glameow,49,55,42,42,37,85,310,Normal,
207,Gligar,65,75,105,35,65,85,430,Ground,Flying
472,Gliscor,75,95,125,45,75,95,510,Ground,Flying
44,Gloom,60,65,70,85,75,40,395,Grass,Poison
42,Golbat,75,80,70,65,75,90,455,Poison,Flying
118,Goldeen,45,67,60,35,50,63,320,Water,
55,Golduck,80,82,78,95,80,85,500,Water,
76,Golem,80,110,130,55,65,45,485,Rock,Ground
622,Golett,59,74,50,35,50,35,303,Ground,Ghost
623,Golurk,89,124,80,55,80,55,483,Ground,Ghost
368,Gorebyss,55,84,105,114,75,52,485,Water,
574,Gothita,45,30,50,55,65,45,290,Psychic,
576,Gothitelle,70,55,95,95,110,65,490,Psychic,
575,Gothorita,60,45,70,75,85,55,390,Psychic,
210,Granbull,90,120,75,60,60,45,450,Normal,
75,Graveler,55,95,115,45,45,35,390,Rock,Ground
88,Grimer,80,80,50,40,50,25,325,Poison,
388,Grotle,75,89,85,55,65,36,405,Grass,
383,Groudon,100,150,140,100,90,90,670,Ground,
253,Grovyle,50,65,45,85,65,95,405,Grass,
58,Growlithe,55,70,45,70,50,60,350,Fire,
326,Grumpig,80,45,65,90,110,80,470,Psychic,
316,Gulpin,70,43,53,43,53,40,302,Poison,
533,Gurdurr,85,105,85,40,50,40,405,Fighting,
130,Gyarados,95,125,79,60,100,81,540,Water,Flying
440,Happiny,100,5,5,15,65,30,220,Normal,
297,Hariyama,144,120,60,40,60,50,474,Fighting,
93,Haunter,45,50,45,115,55,95,405,Ghost,Poison
612,Haxorus,76,147,90,60,70,97,540,Dragon,
631,Heatmor,85,97,66,105,66,65,484,Fire,
485,Heatran,91,90,106,130,106,77,600,Fire,Steel
214,Heracross,80,125,75,40,95,85,500,Bug,Fighting
507,Herdier,65,80,65,35,65,60,370,Normal,
449,Hippopotas,68,72,78,38,42,32,330,Ground,
450,Hippowdon,108,112,118,68,72,47,525,Ground,
107,Hitmonchan,50,105,79,35,110,76,455,Fighting,
106,Hitmonlee,50,120,53,35,110,87,455,Fighting,
237,Hitmontop,50,95,95,35,110,70,455,Fighting,
430,Honchkrow,100,125,52,105,52,71,505,Dark,Flying
250,Ho-oh,106,130,90,110,154,90,680,Fire,Flying
163,Hoothoot,60,30,30,36,56,50,262,Normal,Flying
187,Hoppip,35,35,40,35,55,50,250,Grass,Flying
116,Horsea,30,40,70,70,25,60,295,Water,
229,Houndoom,75,90,50,110,80,95,500,Dark,Fire
228,Houndour,45,60,30,80,50,65,330,Dark,Fire
367,Huntail,55,104,105,94,75,52,485,Water,
635,Hydreigon,92,105,90,125,90,98,600,Dark,Dragon
97,Hypno,85,73,70,73,115,67,483,Psychic,
174,Igglybuff,90,30,15,40,20,15,210,Normal,
314,Illumise,65,47,55,73,75,85,400,Bug,
392,Infernape,76,104,71,104,71,108,534,Fire,Fighting
2,Ivysaur,60,62,63,80,80,60,405,Grass,Poison
593,Jellicent,100,60,70,85,105,60,480,Water,Ghost
39,Jigglypuff,115,45,20,45,25,20,270,Normal,
385,Jirachi,100,100,100,100,100,100,600,Steel,Psychic
135,Jolteon,65,65,60,110,95,130,525,Electric,
595,Joltik,50,47,50,57,50,65,319,Bug,Electric
189,Jumpluff,75,55,70,55,85,110,450,Grass,Flying
124,Jynx,65,50,35,115,95,95,455,Ice,Psychic
140,Kabuto,30,80,90,55,45,55,355,Rock,Water
141,Kabutops,60,115,105,65,70,80,495,Rock,Water
64,Kadabra,40,35,30,120,70,105,400,Psychic,
14,Kakuna,45,25,50,25,25,35,205,Bug,Poison
115,Kangaskhan,105,95,80,40,80,90,490,Normal,
588,Karrablast,50,75,45,40,45,60,315,Bug,
352,Kecleon,60,90,70,60,120,40,440,Normal,
647,Keldeo,91,72,90,129,90,108,580,Water,Fighting
230,Kingdra,75,95,95,95,95,85,540,Water,Dragon
99,Kingler,55,130,115,50,50,75,475,Water,
281,Kirlia,38,35,35,65,55,50,278,Psychic,
600,Klang,60,80,95,70,85,50,440,Steel,
599,Klink,40,55,70,45,60,30,300,Steel,
601,Klinklang,60,100,115,70,85,90,520,Steel,
109,Koffing,40,65,95,60,45,35,340,Poison,
98,Krabby,30,105,90,25,25,50,325,Water,
401,Kricketot,37,25,41,25,41,25,194,Bug,
402,Kricketune,77,85,51,55,51,65,384,Bug,
552,Krokorok,60,82,45,45,45,74,351,Ground,Dark
553,Krookodile,95,117,70,65,70,92,509,Ground,Dark
382,Kyogre,100,100,90,150,140,90,670,Water,
646,Kyurem,125,130,90,130,90,95,660,Dragon,Ice
305,Lairon,60,90,140,50,50,40,430,Steel,Rock
608,Lampent,60,40,60,95,60,55,370,Ghost,Fire
645,Landorus,89,125,90,115,80,101,600,Ground,Flying
171,Lanturn,125,58,58,76,76,67,460,Water,Electric
131,Lapras,130,85,80,85,95,60,535,Water,Ice
636,Larvesta,55,85,55,50,55,60,360,Bug,Fire
246,Larvitar,50,64,50,45,50,41,300,Rock,Ground
380,Latias,80,80,90,110,130,110,600,Dragon,Psychic
381,Latios,80,90,80,130,110,110,600,Dragon,Psychic
470,Leafeon,65,110,130,60,65,95,525,Grass,
542,Leavanny,75,103,80,70,70,92,490,Bug,Grass
166,Ledian,55,35,50,55,110,85,390,Bug,Flying
165,Ledyba,40,20,30,40,80,55,265,Bug,Flying
463,Lickilicky,110,85,95,80,95,50,515,Normal,
108,Lickitung,90,55,75,60,75,30,385,Normal,
510,Liepard,64,88,50,88,50,106,446,Dark,
345,Lileep,66,41,77,61,87,23,355,Rock,Grass
549,Lilligant,70,60,75,110,75,90,480,Grass,
506,Lillipup,45,60,45,25,45,55,275,Normal,
264,Linoone,78,70,61,50,61,100,420,Normal,
607,Litwick,50,30,55,65,55,20,275,Ghost,Fire
271,Lombre,60,50,50,60,70,50,340,Water,Grass
428,Lopunny,65,76,84,54,96,105,480,Normal,
270,Lotad,40,30,30,40,50,30,220,Water,Grass
294,Loudred,84,71,43,71,43,48,360,Normal,
448,Lucario,70,110,70,115,70,90,525,Fighting,Steel
272,Ludicolo,80,70,70,90,100,70,480,Water,Grass
249,Lugia,106,90,130,90,154,110,680,Psychic,Flying
457,Lumineon,69,69,76,69,86,91,460,Water,
337,Lunatone,70,55,65,95,85,70,440,Rock,Psychic
370,Luvdisc,43,30,55,40,65,97,330,Water,
404,Luxio,60,85,49,60,49,60,363,Electric,
405,Luxray,80,120,79,95,79,70,523,Electric,
68,Machamp,90,130,80,65,85,55,505,Fighting,
67,Machoke,80,100,70,50,60,45,405,Fighting,
66,Machop,70,80,50,35,35,35,305,Fighting,
240,Magby,45,75,37,70,55,83,365,Fire,
219,Magcargo,50,50,120,80,80,30,410,Fire,Rock
129,Magikarp,20,10,55,15,20,80,200,Water,
126,Magmar,65,95,57,100,85,93,495,Fire,
467,Magmortar,75,95,67,125,95,83,540,Fire,
81,Magnemite,25,35,70,95,55,45,325,Electric,Steel
82,Magneton,50,60,95,120,70,70,465,Electric,Steel
462,Magnezone,70,70,115,130,90,60,535,Electric,Steel
296,Makuhita,72,60,30,20,30,25,237,Fighting,
473,Mamoswine,110,130,80,70,60,80,530,Ice,Ground
490,Manaphy,100,100,100,100,100,100,600,Water,
630,Mandibuzz,110,65,105,55,95,80,510,Dark,Flying
310,Manectric,70,75,60,105,60,105,475,Electric,
56,Mankey,40,80,35,35,45,70,305,Fighting,
226,Mantine,65,40,70,80,140,70,465,Water,Flying
458,Mantyke,45,20,50,60,120,50,345,Water,Flying
556,Maractus,75,86,67,106,67,60,461,Grass,
179,Mareep,55,40,40,65,45,35,280,Electric,
183,Marill,70,20,50,20,50,40,250,Water,
105,Marowak,60,80,110,50,80,45,425,Ground,
259,Marshtomp,70,85,70,60,70,50,405,Water,Ground
284,Masquerain,70,60,62,80,82,60,414,Bug,Flying
303,Mawile,50,85,85,55,55,50,380,Steel,
308,Medicham,60,60,75,60,75,80,410,Fighting,Psychic
307,Meditite,30,40,55,40,55,60,280,Fighting,Psychic
154,Meganium,80,82,100,83,100,80,525,Grass,
648,Meloetta (A),100,77,77,128,128,90,600,Normal,Psychic
52,Meowth,40,45,35,40,40,90,290,Normal,
481,Mesprit,80,105,105,105,105,80,580,Psychic,
376,Metagross,80,135,130,95,90,70,600,Steel,Psychic
375,Metang,60,75,100,55,80,50,420,Steel,Psychic
11,Metapod,50,20,55,25,25,30,205,Bug,
151,Mew,100,100,100,100,100,100,600,Psychic,
150,Mewtwo,106,110,90,154,90,130,680,Psychic,
619,Mienfoo,45,85,50,55,50,65,350,Fighting,
620,Mienshao,65,125,60,95,60,105,510,Fighting,
262,Mightyena,70,90,70,60,60,70,420,Dark,
350,Milotic,95,60,79,100,125,81,540,Water,
241,Miltank,95,80,105,40,70,100,490,Normal,
439,Mime Jr.,20,25,45,70,90,60,310,Psychic,
572,Minccino,55,50,40,40,40,75,300,Normal,
312,Minun,60,40,50,75,85,95,405,Electric,
200,Misdreavus,60,60,60,85,85,85,435,Ghost,
429,Mismagius,60,60,60,105,105,105,495,Ghost,
146,Moltres,90,100,90,125,85,90,580,Fire,Flying
391,Monferno,64,78,52,78,52,81,405,Fire,Fighting
414,Mothim,70,94,50,94,50,66,424,Bug,Flying
122,Mr. Mime,40,45,65,100,120,90,460,Psychic,
258,Mudkip,50,70,50,50,50,40,310,Water,
89,Muk,105,105,75,65,100,50,500,Poison,
446,Munchlax,135,85,40,40,85,5,390,Normal,
517,Munna,76,25,45,67,55,24,292,Psychic,
198,Murkrow,60,85,42,85,42,91,405,Dark,Flying
518,Musharna,116,55,85,107,95,29,487,Psychic,
177,Natu,40,50,45,70,45,70,320,Psychic,Flying
34,Nidoking,81,92,77,85,75,85,495,Poison,Ground
31,Nidoqueen,90,82,87,75,85,76,495,Poison,Ground
29,Nidoran ♀,55,47,52,40,40,41,275,Poison,
32,Nidoran ♂,46,57,40,40,40,50,273,Poison,
30,Nidorina,70,62,67,55,55,56,365,Poison,
33,Nidorino,61,72,57,55,55,65,365,Poison,
290,Nincada,31,45,90,30,30,40,266,Bug,Ground
38,Ninetales,73,76,75,81,100,100,505,Fire,
291,Ninjask,61,90,45,50,50,160,456,Bug,Flying
164,Noctowl,100,50,50,76,96,70,442,Normal,Flying
299,Nosepass,30,45,135,45,90,30,375,Rock,
322,Numel,60,60,40,65,45,35,305,Fire,Ground
274,Nuzleaf,70,70,40,60,40,60,340,Grass,Dark
224,Octillery,75,105,75,105,75,45,480,Water,
43,Oddish,45,50,55,75,65,30,320,Grass,Poison
138,Omanyte,35,40,100,90,55,35,355,Rock,Water
139,Omastar,70,60,125,115,70,55,495,Rock,Water
95,Onix,35,45,160,30,45,70,385,Rock,Ground
501,Oshawott,55,55,45,63,45,45,308,Water,
417,Pachirisu,60,45,70,45,90,95,405,Electric,
484,Palkia,90,120,100,150,120,100,680,Water,Dragon
536,Palpitoad,75,65,55,65,55,69,384,Water,Ground
515,Panpour,50,53,48,53,48,64,316,Water,
511,Pansage,50,53,48,53,48,64,316,Grass,
513,Pansear,50,53,48,53,48,64,316,Fire,
46,Paras,35,70,55,45,55,25,285,Bug,Grass
47,Parasect,60,95,80,60,80,30,405,Bug,Grass
504,Patrat,45,55,39,35,39,42,255,Normal,
624,Pawniard,45,85,70,40,40,60,340,Dark,Steel
279,Pelipper,60,50,100,85,70,65,430,Water,Flying
53,Persian,65,70,60,65,65,115,440,Normal,
548,Petilil,45,35,50,70,50,30,280,Grass,
231,Phanpy,90,60,60,40,40,40,330,Ground,
489,Phione,80,80,80,80,80,80,480,Water,
172,Pichu,20,40,15,35,35,60,205,Electric,
18,Pidgeot,83,80,75,70,70,91,469,Normal,Flying
17,Pidgeotto,63,60,55,50,50,71,349,Normal,Flying
16,Pidgey,40,45,40,35,35,56,251,Normal,Flying
519,Pidove,50,55,50,36,30,43,264,Normal,Flying
499,Pignite,90,93,55,70,55,55,418,Fire,Fighting
25,Pikachu,35,55,30,50,40,90,300,Electric,
221,Piloswine,100,100,80,60,60,50,450,Ice,Ground
204,Pineco,50,65,90,35,35,15,290,Bug,
127,Pinsir,65,125,100,55,70,85,500,Bug,
393,Piplup,53,51,53,61,56,40,314,Water,
311,Plusle,60,50,40,85,75,95,405,Electric,
186,Politoed,90,75,75,90,100,70,500,Water,
60,Poliwag,40,50,40,40,40,90,300,Water,
61,Poliwhirl,65,65,65,50,50,90,385,Water,
62,Poliwrath,90,85,95,70,90,70,500,Water,Fighting
77,Ponyta,50,85,55,65,65,90,410,Fire,
261,Poochyena,35,55,35,30,30,35,220,Dark,
137,Porygon,65,60,70,85,75,40,395,Normal,
233,Porygon2,85,80,90,105,95,60,515,Normal,
474,Porygon-Z,85,80,70,135,75,90,535,Normal,
57,Primeape,65,105,60,60,70,95,455,Fighting,
394,Prinplup,64,66,68,81,76,50,405,Water,
476,Probopass,60,55,145,75,150,40,525,Rock,Steel
54,Psyduck,50,52,48,65,50,55,320,Water,
247,Pupitar,70,84,70,65,70,51,410,Rock,Ground
509,Purrloin,41,50,37,50,37,66,281,Dark,
432,Purugly,71,82,64,64,59,112,452,Normal,
195,Quagsire,95,85,85,65,65,35,430,Water,Ground
156,Quilava,58,64,58,80,65,80,405,Fire,
211,Qwilfish,65,95,75,55,55,85,430,Water,Poison
26,Raichu,60,90,55,90,80,100,475,Electric,
243,Raikou,90,85,75,115,100,115,580,Electric,
280,Ralts,28,25,25,45,35,40,198,Psychic,
409,Rampardos,97,165,60,65,50,58,495,Rock,
78,Rapidash,65,100,70,80,80,105,500,Fire,
20,Raticate,55,81,60,50,70,97,413,Normal,
19,Rattata,30,56,35,25,35,72,253,Normal,
384,Rayquaza,105,150,90,150,90,95,680,Dragon,Flying
378,Regice,80,50,100,100,200,50,580,Ice,
486,Regigigas,110,160,110,80,110,100,670,Normal,
377,Regirock,80,100,200,50,100,50,580,Rock,
379,Registeel,80,75,150,75,150,50,580,Steel,
369,Relicanth,100,90,130,45,65,55,485,Water,Rock
223,Remoraid,35,65,35,65,35,65,300,Water,
643,Reshiram,100,120,100,150,120,90,680,Dragon,Fire
579,Reuniclus,110,65,75,125,85,30,490,Psychic,
112,Rhydon,105,130,120,45,45,40,485,Ground,Rock
111,Rhyhorn,80,85,95,30,30,25,345,Ground,Rock
464,Rhyperior,115,140,130,55,55,40,535,Ground,Rock
447,Riolu,40,70,40,35,40,60,285,Fighting,
524,Roggenrola,55,75,85,25,25,15,280,Rock,
315,Roselia,50,60,45,100,80,65,400,Grass,Poison
407,Roserade,60,70,55,125,105,90,505,Grass,Poison
479,Rotom,50,50,77,95,77,91,440,Electric,Ghost
627,Rufflet,70,83,50,37,50,60,350,Normal,Flying
302,Sableye,50,75,75,65,65,50,380,Dark,Ghost
373,Salamence,95,135,80,110,80,100,600,Dragon,Flying
503,Samurott,95,100,85,108,70,70,528,Water,
551,Sandile,50,72,35,35,35,65,292,Ground,Dark
27,Sandshrew,50,75,85,20,30,40,300,Ground,
28,Sandslash,75,100,110,45,55,65,450,Ground,
539,Sawk,75,125,75,30,75,85,465,Fighting,
586,Sawsbuck,80,100,70,60,70,95,475,Normal,Grass
254,Sceptile,70,85,65,105,85,120,530,Grass,
212,Scizor,70,130,100,55,80,65,500,Bug,Steel
545,Scolipede,60,90,89,55,69,112,475,Bug,Poison
560,Scrafty,65,90,115,45,115,58,488,Dark,Fighting
559,Scraggy,50,75,70,35,70,48,348,Dark,Fighting
123,Scyther,70,110,80,55,80,105,500,Bug,Flying
117,Seadra,55,65,95,95,45,85,440,Water,
119,Seaking,80,92,65,65,80,68,450,Water,
364,Sealeo,90,60,70,75,70,45,410,Ice,Water
273,Seedot,40,40,50,30,30,30,220,Grass,
86,Seel,65,45,55,45,70,45,325,Water,
537,Seismitoad,105,85,75,85,75,74,499,Water,Ground
161,Sentret,35,46,34,35,45,20,215,Normal,
497,Serperior,75,75,95,75,95,113,528,Grass,
496,Servine,60,60,75,60,75,83,413,Grass,
336,Seviper,73,100,60,100,60,65,458,Poison,
540,Sewaddle,45,53,70,40,60,42,310,Bug,Grass
319,Sharpedo,70,120,40,95,40,95,460,Water,Dark
492,Shaymin,100,100,100,100,100,100,600,Grass,
292,Shedinja,1,90,45,30,30,40,236,Bug,Ghost
372,Shelgon,65,95,100,60,50,50,420,Dragon,
90,Shellder,30,65,100,45,25,40,305,Water,
422,Shellos,76,48,48,57,62,34,325,Water,
616,Shelmet,50,40,85,40,65,25,305,Bug,
